201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000025/exp03/virus/20181010T075335.4_105LL_sci.fits HF00453_W_000_W 366.94930176 401.503638191 58401.3288829736 0.835333 0.32 208.318931 213.475348 -105.004829779267 9.27555555555555
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000027/exp03/virus/20181010T083053.8_105LL_sci.fits HF00270_W 487.949258496 523.654539957 58401.3547903411 1.588667 0.15 208.318931 213.475348 -105.000484079123 9.09166666666666
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000028/exp03/virus/20181010T090306.9_105LL_sci.fits HF00297_W 547.749425152 583.531575314 58401.3771637296 2.074667 0.15 208.318849 213.475248 -105.004829779267 9.48555555555556
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000029/exp03/virus/20181010T092945.4_105LL_sci.fits HF00437_W 367.847516928 402.506969897 58401.3956652577 2.452667 0.15 208.318849 213.475248 -105.000484079123 10.2283333333333
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000007/exp03/virus/20181011T045924.6_105LL_sci.fits HF00549_E 427.050319616 461.932215946 58402.2079238421 0.666667 0 152.980761 148.113865 -105.004829779267 13.9805555555556
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000008/exp03/virus/20181011T052423.0_105LL_sci.fits HF00556_E 367.1982784 402.804485472 58402.2252667183 0.92 0 152.980843 148.113965 -105.000484079123 14.3394444444444
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000009/exp03/virus/20181011T054956.9_105LL_sci.fits HF00152_E 427.249171712 463.472116258 58402.2430207641 1.318667 -0.15 152.980679 148.113765 -105.013521179557 14.0705555555556
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000010/exp03/virus/20181011T061359.9_105LL_sci.fits HF00176_E 366.749238016 402.232319924 58402.2597215371 1.750667 -0.15 152.980597 148.113665 -105.004829779267 13.8933333333333
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000011/exp03/virus/20181011T063724.7_105LL_sci.fits HF00197_E 367.949268736 403.647292804 58402.275980636 2.128667 -0.15 152.980679 148.113765 -105.013521179557 14.0394444444444
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000012/exp03/virus/20181011T070032.5_105LL_sci.fits HF00415_E 367.399273728 402.670223037 58402.2920436766 2.272667 -0.15 152.980597 148.113665 -105.004829779267 13.835
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000013/exp03/virus/20181011T072441.1_105LL_sci.fits HF00438_W 367.548031488 403.545692029 58402.3088091793 0.565333 0.32 208.020408 213.109685 -105.013521179557 13.9044444444444
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000014/exp03/virus/20181011T074802.1_105LL_sci.fits HF00235_W 367.09926912 402.922809596 58402.3250254607 0.958667 0.15 208.020408 213.109685 -105.004829779267 13.4588888888889
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000015/exp03/virus/20181011T081258.8_105LL_sci.fits HF00257_W 367.500848128 403.100976758 58402.3423476811 1.354667 0.15 208.020408 213.109685 -105.009175479412 13.6955555555556
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000016/exp03/virus/20181011T083635.4_105LL_sci.fits HF00280_W 366.748425472 402.099656064 58402.3587435815 1.768667 0.15 208.020489 213.109785 -105.000484079123 13.4827777777778
201810sci:/work/03946/hetdex/maverick/20181011/virus/virus0000017/exp03/virus/20181011T090608.2_105LL_sci.fits HF00304_W 547.098601216 582.544610461 58402.3792619845 2.200667 0.15 208.020408 213.109685 -104.996138378978 13.1994444444444
