yyyymmdd yyyymm specid ifuslot ifuid
20170921 201709 017 086 022
20170921 201709 020 095 004
20170921 201709 024 083 023
20170921 201709 025 076 032
20170921 201709 027 085 001
20170921 201709 032 094 028
20170921 201709 037 073 031
20170921 201709 038 096 014
20170921 201709 041 084 015
20170921 201709 047 075 075
20170921 201709 051 105 051
20170921 201709 202 044 074
20170921 201709 305 045 056
20170921 201709 307 074 076
20170922 201709 008 093 054
20170922 201709 012 106 033
20170922 201709 013 103 019
20170922 201709 016 104 026
20170922 201709 017 086 022
20170922 201709 020 095 004
20170922 201709 024 083 023
20170922 201709 025 076 032
20170922 201709 027 085 001
20170922 201709 032 094 028
20170922 201709 037 073 031
20170922 201709 038 096 014
20170922 201709 041 084 015
20170922 201709 047 075 075
20170922 201709 051 105 051
20170922 201709 202 044 074
20170922 201709 305 045 056
20170922 201709 306 043 057
20170922 201709 307 074 076
20170922 201709 309 046 005
20170922 201709 310 033 002
20170923 201709 008 093 054
20170923 201709 012 106 033
20170923 201709 013 103 019
20170923 201709 016 104 026
20170923 201709 017 086 022
20170923 201709 020 095 004
20170923 201709 024 083 023
20170923 201709 025 076 032
20170923 201709 027 085 001
20170923 201709 032 094 028
20170923 201709 037 073 031
20170923 201709 038 096 014
20170923 201709 041 084 015
20170923 201709 047 075 075
20170923 201709 051 105 051
20170923 201709 202 044 074
20170923 201709 305 045 056
20170923 201709 306 043 057
20170923 201709 307 074 076
20170923 201709 309 046 005
20170923 201709 310 033 002
20171012 201710 008 093 054
20171012 201710 012 106 033
20171012 201710 013 103 019
20171012 201710 016 104 026
20171012 201710 017 086 022
20171012 201710 020 095 004
20171012 201710 024 083 023
20171012 201710 027 085 001
20171012 201710 032 094 028
20171012 201710 037 073 031
20171012 201710 038 096 014
20171012 201710 041 084 015
20171012 201710 047 075 075
20171012 201710 051 105 051
20171012 201710 202 044 074
20171012 201710 304 034 003
20171012 201710 305 045 056
20171012 201710 306 043 057
20171012 201710 307 074 076
20171012 201710 309 046 005
20171012 201710 310 033 002
20171013 201710 008 093 054
20171013 201710 012 106 033
20171013 201710 013 103 019
20171013 201710 016 104 026
20171013 201710 017 086 022
20171013 201710 020 095 004
20171013 201710 024 083 023
20171013 201710 025 076 032
20171013 201710 027 085 001
20171013 201710 032 094 028
20171013 201710 037 073 031
20171013 201710 038 096 014
20171013 201710 041 084 015
20171013 201710 047 075 075
20171013 201710 051 105 051
20171013 201710 202 044 074
20171013 201710 304 034 003
20171013 201710 305 045 056
20171013 201710 306 043 057
20171013 201710 307 074 076
20171013 201710 309 046 005
20171013 201710 310 033 002
20171014 201710 008 093 054
20171014 201710 012 106 033
20171014 201710 013 103 019
20171014 201710 016 104 026
20171014 201710 017 086 022
20171014 201710 020 095 004
20171014 201710 024 083 023
20171014 201710 025 076 032
20171014 201710 027 085 001
20171014 201710 032 094 028
20171014 201710 037 073 031
20171014 201710 038 096 014
20171014 201710 041 084 015
20171014 201710 047 075 075
20171014 201710 051 105 051
20171014 201710 202 044 074
20171014 201710 304 034 003
20171014 201710 305 045 056
20171014 201710 306 043 057
20171014 201710 307 074 076
20171014 201710 309 046 005
20171014 201710 310 033 002
20171015 201710 008 093 054
20171015 201710 012 106 033
20171015 201710 013 103 019
20171015 201710 016 104 026
20171015 201710 017 086 022
20171015 201710 020 095 004
20171015 201710 024 083 023
20171015 201710 025 076 032
20171015 201710 027 085 001
20171015 201710 032 094 028
20171015 201710 037 073 031
20171015 201710 038 096 014
20171015 201710 041 084 015
20171015 201710 047 075 075
20171015 201710 051 105 051
20171015 201710 202 044 074
